	domain	phylum	class	order	family	genus	species
ASV_21782	Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	NA	NA	NA
ASV_21783	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	NA	NA
ASV_21784	Bacteria	NA	NA	NA	NA	NA	NA
ASV_21785	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA
ASV_21786	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA
ASV_21787	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA
ASV_21788	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
ASV_21789	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV_21790	Bacteria	Gemmatimonadota	S0134 terrestrial group	NA	NA	NA	NA
ASV_21791	Bacteria	Gemmatimonadota	S0134 terrestrial group	NA	NA	NA	NA
ASV_21792	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3 termite group	NA	NA
ASV_21793	Bacteria	Patescibacteria	Parcubacteria	Candidatus Staskawiczbacteria	NA	NA	NA
ASV_21794	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	NA
ASV_21795	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	NA
ASV_21796	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA
ASV_21797	Bacteria	Firmicutes	Symbiobacteriia	Symbiobacteriales	Symbiobacteraceae	NA	NA
ASV_21798	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV_21799	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA	NA
ASV_21800	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NA	NA
ASV_21801	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA
ASV_21802	Bacteria	SAR324 clade(Marine group B)	NA	NA	NA	NA	NA
ASV_21803	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	NA	NA
ASV_21804	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloronema	NA
ASV_21805	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA
ASV_21806	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
ASV_21807	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA
ASV_21808	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NA	NA
ASV_21809	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UTBCD1	NA
ASV_21810	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	NA	NA
ASV_21811	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_21812	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
ASV_21813	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
ASV_21814	Bacteria	Patescibacteria	Berkelbacteria	NA	NA	NA	NA
ASV_21815	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA	NA
ASV_21816	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	NA	NA
ASV_21817	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
ASV_21818	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV_21819	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA
ASV_21820	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	NA
ASV_21821	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA
ASV_21822	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	NA
ASV_21823	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_21824	Bacteria	Bacteroidota	NA	NA	NA	NA	NA
ASV_21825	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	NA
ASV_21826	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA
ASV_21827	Bacteria	NA	NA	NA	NA	NA	NA
ASV_21828	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV_21829	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV_21830	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_21831	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	NA	NA	NA
ASV_21832	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Candidatus Chloroploca	NA
ASV_21833	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
ASV_21834	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_21835	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA
ASV_21836	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
ASV_21837	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	MM2	NA
ASV_21838	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	NA
ASV_21839	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA	NA
ASV_21840	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	GWD2-49-16	NA
ASV_21841	Bacteria	Planctomycetota	vadinHA49	NA	NA	NA	NA
ASV_21842	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA
ASV_21843	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_21844	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA
ASV_21845	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011_GWC1_47_15	NA	NA
ASV_21846	Bacteria	Patescibacteria	Parcubacteria	GWA2-38-13b	NA	NA	NA
ASV_21847	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV_21848	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	NA
ASV_21849	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA
ASV_21850	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	NA	NA
ASV_21851	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	NA	NA	NA
ASV_21852	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV_21853	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA
ASV_21854	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea	NA
ASV_21855	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	UTCFX1	NA
ASV_21856	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
ASV_21857	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA
ASV_21858	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	NA	NA
ASV_21859	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA	NA
ASV_21860	Bacteria	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	NA	NA
ASV_21861	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA
ASV_21862	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA
ASV_21863	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	NA
ASV_21864	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	NA
ASV_21865	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	NA	NA	NA
ASV_21866	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
ASV_21867	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	NA	NA	NA
ASV_21868	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Criblamydiaceae	NA	NA
ASV_21869	Bacteria	NA	NA	NA	NA	NA	NA
ASV_21870	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV_21871	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA
ASV_21872	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA
ASV_21873	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	NA	NA
